activation_types,bumps,c1_lb,c1_ub,c2,c3,crossover_freq,decay,distance_weight,edge_inheritance,edge_weights,extra_mutation_rate,fd_max,fd_mean,fd_median,fd_min,fd_sd,generations_per_epoch,gvector_absolute_fitness,gvector_fitness_delta,knob_constant,knob_type,mutation_type_ub,num_candidates,num_epochs,num_hill_climbers,num_organisms,ph_absolute_fitness,ph_fitness_delta,ridge_radius,sa_timesteps,seed,spreading_rate
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,20,0.000000,0.000000,0.020000,0,16,7,50,30,50,0.000000,0.000000,0.100000,20,563377000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.864652,0.386277,0.386216,0.000000,0.293934,20,3.295948,1.099413,0.020000,0,16,7,70,30,50,0.000000,0.000000,0.100000,20,843840000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.821789,0.350778,0.392111,0.000000,0.271165,20,9.954099,0.000000,0.020000,0,16,7,70,30,50,0.000000,0.000000,0.100000,20,602552000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.828971,0.337808,0.301160,0.000000,0.317613,20,4.310754,1.171105,0.020000,0,16,7,70,30,50,0.000000,0.000000,0.100000,20,474318000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.628069,0.030672,0.000000,0.000000,0.109584,20,3.754337,0.000000,0.020000,0,16,7,70,30,50,0.000000,0.000000,0.100000,20,45909000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.841375,0.029596,0.000000,-0.137305,0.142636,20,0.778506,0.408757,0.020000,0,16,7,70,30,50,0.000000,0.000000,0.100000,20,401404000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.905477,0.396868,0.428233,0.000000,0.294455,20,1.653675,0.985736,0.020000,0,16,7,70,30,50,0.000000,0.000000,0.100000,20,107026000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.823473,0.303287,0.297842,0.000000,0.285537,20,2.627454,1.602623,0.020000,0,16,7,70,30,50,0.000000,0.000000,0.100000,20,787966000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.845314,0.438703,0.478868,0.000000,0.272839,20,1.982439,0.888350,0.020000,0,16,7,70,30,50,0.000000,0.000000,0.100000,20,563485000,0.200000
ONLY_SUM_INCOMING,false,0.100000,0.900000,1.000000,0.000000,0.100000,0.900000,10.000000,INHERIT_SRC_EDGES_FROM_MOMMY,EDGE_WEIGHTS_POS_OR_NEG,0.100000,0.594654,0.043801,0.000000,0.000000,0.136260,20,8.321420,0.000000,0.020000,0,16,7,70,30,50,0.000000,0.000000,0.100000,20,196429000,0.200000
